timestamp,pid,wall_s,cpu_s,ws_mb,ws_peak_mb,threads
2026-08-24T20:29:16.2847531-05:00,3744,115,152,2191,2191,39
2026-08-24T20:31:16.4956945-05:00,3744,235,304,3073,3073,39
2026-08-24T20:33:16.6257528-05:00,3744,355,452,3910,3920,31
2026-08-24T20:35:16.7507213-05:00,3744,475,615,5041,4774,39
2026-08-24T20:37:16.8947811-05:00,3744,595,790,7386,7386,39
2026-08-24T20:39:17.0396248-05:00,3744,715,910,7386,7386,27
2026-08-24T20:41:17.2078242-05:00,3744,835,1255,7349,7404,39
2026-08-24T20:43:17.4507428-05:00,3744,956,1867,9511,9311,39
2026-08-24T20:45:17.6272269-05:00,3744,1076,2039,9714,9715,27
2026-08-24T20:47:17.7844588-05:00,3744,1196,2159,9721,9720,28
2026-08-24T20:49:17.9241239-05:00,3744,1316,2279,9722,9721,27
2026-08-24T20:51:18.0175887-05:00,3744,1436,2398,9205,9722,27
2026-08-24T20:53:18.1591908-05:00,3744,1556,2518,9207,9207,27
2026-08-24T20:55:18.3314506-05:00,3744,1677,2638,9208,9208,27
2026-08-24T20:57:18.5284965-05:00,3744,1797,2758,9210,9209,27
2026-08-24T20:59:18.6379617-05:00,3744,1917,2878,9211,9211,27
2026-08-24T21:01:18.7484234-05:00,3744,2037,2998,9227,9227,27
2026-08-24T21:03:18.8783660-05:00,3744,2157,3118,9228,9228,27
2026-08-24T21:05:19.0043599-05:00,3744,2277,3238,9229,9229,27
2026-08-24T21:07:19.1635140-05:00,3744,2397,3358,9229,9229,27
2026-08-24T21:09:19.3322133-05:00,3744,2518,3478,9232,9232,27
2026-08-24T21:11:19.4647459-05:00,3744,2638,3598,9242,9242,27
2026-08-24T21:13:19.6066215-05:00,3744,2758,3718,9244,9244,27
2026-08-24T21:15:19.7338021-05:00,3744,2878,3838,9245,9245,27
2026-08-24T21:17:19.8605466-05:00,3744,2998,3958,9246,9246,27
2026-08-24T21:19:20.0045930-05:00,3744,3118,4077,9246,9246,27
2026-08-24T21:21:20.1630450-05:00,3744,3238,4197,9240,9247,27
2026-08-24T21:23:20.3689312-05:00,3744,3359,4318,9241,9241,27
2026-08-24T21:25:20.5149273-05:00,3744,3479,4437,9242,9242,27
2026-08-24T21:27:20.6578018-05:00,3744,3599,4557,9243,9243,27
2026-08-24T21:29:20.7678708-05:00,3744,3719,4677,9244,9244,27
2026-08-24T21:31:20.9567582-05:00,3744,3839,4797,9245,9245,27
2026-08-24T21:33:21.1294504-05:00,3744,3959,4917,9246,9246,27
2026-08-24T21:35:21.2790758-05:00,3744,4080,5037,9246,9246,27
2026-08-24T21:37:21.4802906-05:00,3744,4200,5157,9247,9247,27
2026-08-24T21:39:21.6233876-05:00,3744,4320,5277,9248,9248,27
2026-08-24T21:41:21.8282298-05:00,3744,4440,5397,9248,9248,27
2026-08-24T21:43:22.0170985-05:00,3744,4560,5517,9250,9250,27
2026-08-24T21:45:22.1896987-05:00,3744,4680,5637,9251,9251,27
2026-08-24T21:47:22.3830763-05:00,3744,4801,5757,9255,9255,27
2026-08-24T21:49:22.5268308-05:00,3744,4921,5877,9257,9257,27
2026-08-24T21:51:22.6724230-05:00,3744,5041,5997,9249,9257,27
2026-08-24T21:53:22.8176041-05:00,3744,5161,6116,9250,9250,27
2026-08-24T21:55:22.9683303-05:00,3744,5281,6236,9252,9252,27
2026-08-24T21:57:23.1142029-05:00,3744,5401,6356,9253,9253,27
2026-08-24T21:59:23.2925310-05:00,3744,5522,6476,9254,9254,27
2026-08-24T22:01:23.4468551-05:00,3744,5642,6596,9255,9255,27
2026-08-24T22:03:23.6072214-05:00,3744,5762,6716,9256,9256,27
