timestamp,pid,wall_s,cpu_s,ws_mb,ws_peak_mb,threads
2026-08-25T13:56:29.9141955-05:00,2252,11561,12469,4839,4838,27
2026-08-25T13:58:30.0824035-05:00,2252,11682,12589,4841,4841,27
2026-08-25T14:00:30.2926975-05:00,2252,11802,12708,4843,4842,27
2026-08-25T14:02:30.4538208-05:00,2252,11922,12828,4844,4844,27
2026-08-25T14:04:30.6222162-05:00,2252,12042,12948,4850,4849,27
2026-08-25T14:06:30.7714051-05:00,2252,12162,13095,8891,7629,27
2026-08-25T14:08:31.0080761-05:00,2252,,,,17034,
2026-08-25T14:10:31.2041051-05:00,12160,92,135,2300,2300,40
2026-08-25T14:12:31.3687301-05:00,12160,212,284,3176,3176,39
2026-08-25T14:14:31.5338776-05:00,12160,333,433,4093,4093,39
2026-08-25T14:16:31.7260234-05:00,12160,453,573,4829,4677,39
2026-08-25T14:18:31.9052494-05:00,12160,573,778,6365,6365,39
2026-08-25T14:20:32.1158831-05:00,12160,693,898,6123,6365,27
2026-08-25T14:22:32.3289435-05:00,12160,813,1018,6123,6123,27
2026-08-25T14:24:32.5391136-05:00,12160,934,1711,7143,7143,40
2026-08-25T14:26:32.7392097-05:00,12160,1054,1968,8361,8361,41
2026-08-25T14:28:32.9200643-05:00,12160,1174,2088,8366,8366,27
2026-08-25T14:30:33.0822993-05:00,12160,1294,2208,8368,8368,27
2026-08-25T14:32:33.2642349-05:00,12160,1414,2327,8370,8370,27
2026-08-25T14:34:33.4323905-05:00,12160,1535,2447,8370,8370,27
2026-08-25T14:36:33.5821182-05:00,12160,1655,2567,7917,8370,27
2026-08-25T14:38:33.7320606-05:00,12160,1775,2687,7918,7918,27
2026-08-25T14:40:33.8858372-05:00,12160,1895,2806,7920,7920,27
2026-08-25T14:42:34.0957600-05:00,12160,2015,2926,7937,7936,27
2026-08-25T14:44:34.2732894-05:00,12160,2135,3046,7938,7937,27
2026-08-25T14:46:34.4216612-05:00,12160,2256,3166,7939,7939,27
2026-08-25T14:48:34.6041352-05:00,12160,2376,3286,7940,7940,27
2026-08-25T14:50:34.7653816-05:00,12160,2496,3405,7953,7952,27
2026-08-25T14:52:34.9927611-05:00,12160,2616,3525,7957,7957,27
2026-08-25T14:54:35.1878406-05:00,12160,2736,3645,7960,7959,27
2026-08-25T14:56:35.3804565-05:00,12160,2856,3765,7961,7961,27
2026-08-25T14:58:35.5509168-05:00,12160,2977,3885,7963,7963,27
2026-08-25T15:00:35.6854252-05:00,12160,3097,4004,7964,7964,27
2026-08-25T15:02:35.8364157-05:00,12160,3217,4124,7965,7965,27
2026-08-25T15:04:36.0238965-05:00,12160,3337,4244,7966,7966,27
2026-08-25T15:06:36.2140777-05:00,12160,3457,4364,7968,7968,27
2026-08-25T15:08:36.3665393-05:00,12160,3577,4484,7969,7968,27
2026-08-25T15:10:36.5133307-05:00,12160,3698,4604,7970,7969,27
2026-08-25T15:12:36.6806380-05:00,12160,3818,4724,7970,7970,27
2026-08-25T15:14:36.8276711-05:00,12160,3938,4844,7971,7971,27
2026-08-25T15:16:37.0255216-05:00,12160,4058,4964,7972,7972,27
2026-08-25T15:18:37.1873489-05:00,12160,4178,5084,7973,7973,27
2026-08-25T15:20:37.3489637-05:00,12160,4298,5203,7974,7974,27
2026-08-25T15:22:37.4748161-05:00,12160,4419,5323,7976,7976,27
2026-08-25T15:24:37.6204755-05:00,12160,4539,5443,7986,7985,27
2026-08-25T15:26:37.7712361-05:00,12160,4659,5563,7989,7989,27
2026-08-25T15:28:37.9429205-05:00,12160,4779,5683,7991,7991,27
2026-08-25T15:30:38.1191324-05:00,12160,4899,5802,7993,7993,27
2026-08-25T15:32:38.3157033-05:00,12160,5019,5922,7994,7994,27
2026-08-25T15:34:38.4581372-05:00,12160,5140,6042,7995,7995,27
2026-08-25T15:36:38.5865936-05:00,12160,5260,6162,7997,7997,27
2026-08-25T15:38:38.7582864-05:00,12160,5380,6282,7998,7998,27
2026-08-25T15:40:38.9137155-05:00,12160,5500,6402,7999,7999,27
2026-08-25T15:42:39.0929797-05:00,12160,5620,6522,8000,8000,27
2026-08-25T15:44:39.2701827-05:00,12160,5740,6642,8001,8001,27
2026-08-25T15:46:39.4152695-05:00,12160,5861,6762,8002,8001,27
2026-08-25T15:48:39.5833059-05:00,12160,5981,6882,8002,8002,27
2026-08-25T15:50:39.7312556-05:00,12160,6101,7001,8003,8003,27
2026-08-25T15:52:39.9459277-05:00,12160,6221,7121,8005,8004,27
2026-08-25T15:54:40.1311688-05:00,12160,6341,7241,8006,8006,27
2026-08-25T15:56:40.2866038-05:00,12160,6461,7361,8012,8012,27
2026-08-25T15:58:40.4306464-05:00,12160,6582,7481,8014,8014,27
2026-08-25T16:00:40.5854480-05:00,12160,6702,7601,8015,8015,27
2026-08-25T16:02:40.7761069-05:00,12160,6822,7721,8016,8016,27
2026-08-25T16:04:40.9772120-05:00,12160,6942,7841,8017,8017,27
2026-08-25T16:06:41.1309921-05:00,12160,7062,7961,8008,8017,27
2026-08-25T16:08:41.3172369-05:00,12160,7182,8081,8009,8009,27
2026-08-25T16:10:41.4784175-05:00,12160,7303,8201,8010,8010,27
2026-08-25T16:12:41.6104337-05:00,12160,7423,8321,8011,8011,27
2026-08-25T16:14:41.7910435-05:00,12160,7543,8441,8012,8012,27
2026-08-25T16:16:41.9610799-05:00,12160,7663,8561,8013,8013,27
2026-08-25T16:18:42.1146575-05:00,12160,7783,8681,8014,8014,27
2026-08-25T16:20:42.2855385-05:00,12160,7903,8800,8015,8015,27
2026-08-25T16:22:42.4478905-05:00,12160,8024,8920,8016,8016,27
2026-08-25T16:24:42.6175828-05:00,12160,8144,9040,8017,8017,27
2026-08-25T16:26:42.7746429-05:00,12160,8264,9160,8019,8019,27
2026-08-25T16:28:42.9287967-05:00,12160,8384,9280,8028,8028,27
2026-08-25T16:30:43.0677576-05:00,12160,8504,9400,8032,8032,27
2026-08-25T16:32:43.1829000-05:00,12160,8624,9520,8035,8035,27
2026-08-25T16:34:43.3985764-05:00,12160,8744,9639,8037,8037,27
2026-08-25T16:36:43.5223327-05:00,12160,8865,9759,8038,8038,27
2026-08-25T16:38:43.6620705-05:00,12160,8985,9879,8040,8040,27
2026-08-25T16:40:43.8372100-05:00,12160,9105,9999,8041,8041,27
2026-08-25T16:42:43.9887858-05:00,12160,9225,10118,8042,8042,27
2026-08-25T16:44:44.1609481-05:00,12160,9345,10238,8043,8043,27
2026-08-25T16:46:44.3256631-05:00,12160,9465,10358,8044,8044,27
2026-08-25T16:48:44.4706520-05:00,12160,9586,10478,6799,8045,27
2026-08-25T16:50:44.6259693-05:00,12160,9706,10598,6800,6800,27
2026-08-25T16:52:44.8335034-05:00,12160,9826,10718,6801,6801,27
2026-08-25T16:54:44.9861618-05:00,12160,9946,10837,6802,6802,27
2026-08-25T16:56:45.1070740-05:00,12160,10066,10957,6803,6802,27
2026-08-25T16:58:45.3304091-05:00,12160,10186,11077,6805,6805,27
2026-08-25T17:00:45.4589429-05:00,12160,10307,11196,6819,6818,27
2026-08-25T17:02:45.6680101-05:00,12160,10427,11316,6823,6823,27
2026-08-25T17:04:45.8067657-05:00,12160,10547,11436,6826,6826,27
2026-08-25T17:06:45.9693336-05:00,12160,10667,11556,6828,6828,27
2026-08-25T17:08:46.1416976-05:00,12160,10787,11675,6830,6829,27
2026-08-25T17:10:46.3368355-05:00,12160,10907,11795,6831,6831,27
2026-08-25T17:12:46.4924770-05:00,12160,11028,11915,6832,6832,27
2026-08-25T17:14:46.6631143-05:00,12160,11148,12035,6834,6834,27
2026-08-25T17:16:46.8686021-05:00,12160,11268,12155,6835,6835,27
2026-08-25T17:18:47.0135104-05:00,12160,11388,12275,6836,6836,27
2026-08-25T17:20:47.1800991-05:00,12160,11508,12395,6837,6837,27
2026-08-25T17:22:47.3825587-05:00,12160,11628,12514,6838,6838,27
2026-08-25T17:24:47.5269990-05:00,12160,11749,12634,6839,6838,27
2026-08-25T17:26:47.6987211-05:00,12160,11869,12754,6839,6839,27
2026-08-25T17:28:47.8336021-05:00,12160,11989,12873,6841,6840,27
2026-08-25T17:30:47.9790143-05:00,12160,12109,12993,6842,6842,27
2026-08-25T17:32:48.1649251-05:00,12160,12229,13173,11452,10779,27
2026-08-25T17:34:48.3889596-05:00,12160,,,,17592,
2026-08-25T17:38:48.6595968-05:00,sampler-exit,,,,,
