# go2cs H10 dispatch plan -- MACHINE-READABLE. Generated by shardmap.py.
# Do not hand-edit: the driver recomputes #digest over the rows and refuses a mismatch.
#version	1
#basis	recon-basis.tsv (sha256 c3715b2332b5f1ef...)
#slice_cap_seconds	2400
#cooldown_seconds	600
#rows	424
#unscheduled	14
#projection	LOWER_BOUND	14 roster row(s) carry no measured t_r and are NOT in this plan
#digest	005aeab497fd35e8610a968117e1836dc68c753ba822e16eb1cee5845c77d39d
W	worker	slice	seq	package	t_r_i9_seconds	reserved
3	i9-13900K (sweeper)	1	1	crypto/internal/fips140/edwards25519	325	0
3	i9-13900K (sweeper)	1	2	os/exec	223	0
3	i9-13900K (sweeper)	1	3	internal/godebugs	140	0
3	i9-13900K (sweeper)	1	4	go/parser	139	1
3	i9-13900K (sweeper)	1	5	testing/iotest	136	0
3	i9-13900K (sweeper)	1	6	archive/tar	128	0
3	i9-13900K (sweeper)	1	7	go/types	128	1
3	i9-13900K (sweeper)	1	8	database/sql	117	0
3	i9-13900K (sweeper)	1	9	net/http/cgi	106	0
3	i9-13900K (sweeper)	1	10	internal/runtime/maps	100	0
3	i9-13900K (sweeper)	1	11	index/suffixarray	96	1
3	i9-13900K (sweeper)	1	12	sync/atomic	92	1
3	i9-13900K (sweeper)	1	13	crypto/rsa	86	0
3	i9-13900K (sweeper)	1	14	internal/types/errors	84	0
3	i9-13900K (sweeper)	1	15	os	78	0
3	i9-13900K (sweeper)	1	16	crypto/cipher	62	0
3	i9-13900K (sweeper)	1	17	go/importer	62	0
3	i9-13900K (sweeper)	1	18	net/http/httputil	62	0
3	i9-13900K (sweeper)	1	19	math/big	58	0
3	i9-13900K (sweeper)	1	20	crypto/ecdsa	57	0
3	i9-13900K (sweeper)	1	21	net/http/httptest	55	0
3	i9-13900K (sweeper)	1	22	crypto	53	0
3	i9-13900K (sweeper)	1	23	crypto/internal/fips140/mlkem	13	1
3	i9-13900K (sweeper)	2	1	math/rand/v2	52	0
3	i9-13900K (sweeper)	2	2	crypto/dsa	51	1
3	i9-13900K (sweeper)	2	3	crypto/subtle	51	0
3	i9-13900K (sweeper)	2	4	expvar	51	0
3	i9-13900K (sweeper)	2	5	net/smtp	48	0
3	i9-13900K (sweeper)	2	6	crypto/aes	47	0
3	i9-13900K (sweeper)	2	7	net/rpc/jsonrpc	47	0
3	i9-13900K (sweeper)	2	8	internal/fuzz	45	0
3	i9-13900K (sweeper)	2	9	archive/zip	44	1
3	i9-13900K (sweeper)	2	10	go/doc	44	0
3	i9-13900K (sweeper)	2	11	debug/elf	42	0
3	i9-13900K (sweeper)	2	12	compress/gzip	41	0
3	i9-13900K (sweeper)	2	13	context	41	0
3	i9-13900K (sweeper)	2	14	go/build	39	0
3	i9-13900K (sweeper)	2	15	debug/pe	37	0
3	i9-13900K (sweeper)	2	16	image/png	37	0
3	i9-13900K (sweeper)	2	17	internal/poll	36	0
3	i9-13900K (sweeper)	2	18	internal/reflectlite	36	0
3	i9-13900K (sweeper)	2	19	internal/platform	35	0
3	i9-13900K (sweeper)	2	20	crypto/ed25519	34	0
3	i9-13900K (sweeper)	2	21	crypto/md5	34	0
3	i9-13900K (sweeper)	2	22	crypto/sha512	34	0
3	i9-13900K (sweeper)	2	23	go/printer	34	0
3	i9-13900K (sweeper)	2	24	log/slog/internal/benchmarks	33	0
3	i9-13900K (sweeper)	2	25	mime/quotedprintable	33	0
3	i9-13900K (sweeper)	2	26	crypto/hkdf	32	0
3	i9-13900K (sweeper)	2	27	image	32	0
3	i9-13900K (sweeper)	2	28	io/fs	32	0
3	i9-13900K (sweeper)	2	29	compress/zlib	31	0
3	i9-13900K (sweeper)	2	30	crypto/rc4	31	0
3	i9-13900K (sweeper)	2	31	internal/chacha8rand	31	0
3	i9-13900K (sweeper)	2	32	math/cmplx	31	0
3	i9-13900K (sweeper)	2	33	crypto/internal/boring/bcache	30	0
3	i9-13900K (sweeper)	2	34	crypto/internal/fips140/ecdh	30	0
3	i9-13900K (sweeper)	2	35	go/internal/gccgoimporter	30	0
3	i9-13900K (sweeper)	2	36	go/scanner	30	0
3	i9-13900K (sweeper)	2	37	runtime/debug	30	0
3	i9-13900K (sweeper)	2	38	bytes	29	0
3	i9-13900K (sweeper)	2	39	crypto/internal/hpke	29	0
3	i9-13900K (sweeper)	2	40	go/constant	29	0
3	i9-13900K (sweeper)	2	41	internal/sync	29	0
3	i9-13900K (sweeper)	2	42	net/textproto	29	0
3	i9-13900K (sweeper)	2	43	sync	29	0
3	i9-13900K (sweeper)	2	44	embed/internal/embedtest	28	0
3	i9-13900K (sweeper)	2	45	encoding/base32	28	0
3	i9-13900K (sweeper)	2	46	internal/coverage/slicereader	28	0
3	i9-13900K (sweeper)	2	47	internal/fmtsort	28	0
3	i9-13900K (sweeper)	2	48	io	28	0
3	i9-13900K (sweeper)	2	49	crypto/internal/fips140/nistec	27	0
3	i9-13900K (sweeper)	2	50	encoding/csv	27	0
3	i9-13900K (sweeper)	2	51	hash	27	0
3	i9-13900K (sweeper)	2	52	internal/coverage/cmerge	27	0
3	i9-13900K (sweeper)	2	53	internal/dag	27	0
3	i9-13900K (sweeper)	2	54	internal/saferio	27	0
3	i9-13900K (sweeper)	2	55	testing/slogtest	27	0
3	i9-13900K (sweeper)	2	56	container/list	26	0
3	i9-13900K (sweeper)	2	57	crypto/sha1	26	0
3	i9-13900K (sweeper)	2	58	go/format	26	0
3	i9-13900K (sweeper)	2	59	hash/fnv	26	0
3	i9-13900K (sweeper)	2	60	internal/runtime/math	26	0
3	i9-13900K (sweeper)	2	61	iter	26	0
3	i9-13900K (sweeper)	2	62	bufio	25	0
3	i9-13900K (sweeper)	2	63	crypto/internal/fips140/ecdsa	25	0
3	i9-13900K (sweeper)	2	64	debug/gosym	25	0
3	i9-13900K (sweeper)	2	65	debug/plan9obj	25	0
3	i9-13900K (sweeper)	2	66	internal/abi	25	0
3	i9-13900K (sweeper)	2	67	internal/pkgbits	25	0
3	i9-13900K (sweeper)	2	68	net/mail	25	0
3	i9-13900K (sweeper)	2	69	unicode	25	0
3	i9-13900K (sweeper)	2	70	container/ring	24	0
3	i9-13900K (sweeper)	2	71	go/token	24	0
3	i9-13900K (sweeper)	2	72	os/exec/internal/fdtest	24	0
3	i9-13900K (sweeper)	2	73	crypto/internal/boring	23	0
3	i9-13900K (sweeper)	2	74	encoding/pem	23	0
3	i9-13900K (sweeper)	2	75	go/doc/comment	23	1
3	i9-13900K (sweeper)	2	76	time	2	1
3	i9-13900K (sweeper)	3	1	hash/maphash	23	1
3	i9-13900K (sweeper)	3	2	mime	23	0
3	i9-13900K (sweeper)	3	3	plugin	23	0
3	i9-13900K (sweeper)	3	4	container/heap	22	0
3	i9-13900K (sweeper)	3	5	encoding/binary	22	0
3	i9-13900K (sweeper)	3	6	internal/cpu	22	0
3	i9-13900K (sweeper)	3	7	internal/runtime/sys	22	0
3	i9-13900K (sweeper)	3	8	testing/fstest	22	0
3	i9-13900K (sweeper)	3	9	database/sql/driver	21	0
3	i9-13900K (sweeper)	3	10	errors	21	0
3	i9-13900K (sweeper)	3	11	log	21	0
3	i9-13900K (sweeper)	3	12	math/bits	21	0
3	i9-13900K (sweeper)	3	13	runtime/internal/wasitest	21	0
3	i9-13900K (sweeper)	3	14	weak	21	0
3	i9-13900K (sweeper)	3	15	go/build/constraint	20	0
3	i9-13900K (sweeper)	3	16	hash/crc64	20	0
3	i9-13900K (sweeper)	3	17	internal/itoa	20	0
3	i9-13900K (sweeper)	3	18	text/tabwriter	20	0
3	i9-13900K (sweeper)	3	19	encoding/ascii85	19	0
3	i9-13900K (sweeper)	3	20	internal/gover	19	0
3	i9-13900K (sweeper)	3	21	maps	19	0
3	i9-13900K (sweeper)	3	22	internal/syscall/windows	15	0
3	i9-13900K (sweeper)	3	23	internal/syscall/windows/registry	15	0
3	i9-13900K (sweeper)	3	24	crypto/mlkem	13	1
3	6850U R (R-LAPTOP)	1	1	regexp	384	0
3	6850U R (R-LAPTOP)	1	2	runtime	265	0
3	6850U R (R-LAPTOP)	1	3	compress/bzip2	129	0
3	6850U R (R-LAPTOP)	1	4	encoding/json	102	0
3	6850U R (R-LAPTOP)	1	5	reflect	86	0
3	6850U R (R-LAPTOP)	1	6	text/template	63	0
3	6850U R (R-LAPTOP)	1	7	html/template	50	0
3	6850U R (R-LAPTOP)	2	1	compress/flate	60	0
3	6850U R (R-LAPTOP)	2	2	encoding/gob	56	0
3	6850U R (R-LAPTOP)	2	3	net/rpc	53	0
3	6850U R (R-LAPTOP)	2	4	crypto/internal/fips140/edwards25519/field	47	0
3	6850U R (R-LAPTOP)	2	5	crypto/ecdh	44	0
3	6850U R (R-LAPTOP)	2	6	go/ast	42	0
3	6850U R (R-LAPTOP)	2	7	crypto/internal/sysrand	38	0
3	6850U R (R-LAPTOP)	2	8	net/netip	37	0
3	6850U R (R-LAPTOP)	2	9	image/draw	35	0
3	6850U R (R-LAPTOP)	2	10	crypto/internal/fips140/rsa	34	0
3	6850U R (R-LAPTOP)	2	11	strconv	34	0
3	6850U R (R-LAPTOP)	2	12	text/template/parse	33	0
3	6850U R (R-LAPTOP)	2	13	internal/xcoff	32	0
3	6850U R (R-LAPTOP)	2	14	crypto/hmac	31	0
3	6850U R (R-LAPTOP)	2	15	regexp/syntax	31	0
3	6850U R (R-LAPTOP)	2	16	debug/dwarf	30	0
3	6850U R (R-LAPTOP)	2	17	internal/trace/internal/oldtrace	30	0
3	6850U R (R-LAPTOP)	2	18	crypto/internal/fips140/aes	29	0
3	6850U R (R-LAPTOP)	2	19	io/ioutil	29	0
3	6850U R (R-LAPTOP)	2	20	text/scanner	29	0
3	6850U R (R-LAPTOP)	2	21	go/ast/internal/tests	28	0
3	6850U R (R-LAPTOP)	2	22	internal/zstd	28	0
3	6850U R (R-LAPTOP)	2	23	debug/macho	27	0
3	6850U R (R-LAPTOP)	2	24	internal/coverage/test	27	0
3	6850U R (R-LAPTOP)	2	25	sort	27	0
3	6850U R (R-LAPTOP)	2	26	crypto/internal/fips140/bigmod	26	0
