row	word	verdicts	sweep_s	first_in_list	rc	diverged	platform	tree	wall_s	post_s
archive/tar	PASS	98	128	1	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	128	0
bufio	PASS	80	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25	0
bytes	PASS	83	29	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	29	0
cmp	PASS	4	22	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	22	0
compress/lzw	PASS	17	23	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	23	0
container/heap	PASS	7	22	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	22	0
context	PASS	57	41	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	41	0
crypto	PASS	6	53	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	53	0
crypto/cipher	PASS	27272	62	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	62	3
crypto/ecdsa	PASS	77	57	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	57	0
crypto/ed25519	PASS	9	34	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	34	0
crypto/elliptic	PASS	82	27	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	27	0
crypto/hmac	PASS	172	31	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	31	0
crypto/internal/boring	PASS	3	23	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	23	0
crypto/internal/boring/bcache	PASS	1	30	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	30	0
crypto/internal/fips140/bigmod	PASS	79	26	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	26	0
crypto/internal/fips140/ecdsa	PASS	10	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25	0
crypto/internal/fips140/edwards25519/field	PASS	16	47	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	47	0
crypto/internal/fips140deps	PASS	1	22	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	22	0
crypto/internal/hpke	PASS	19	29	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	29	0
crypto/internal/sysrand	PASS	6	38	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	38	0
crypto/rand	DIVERGED	315	46	0	1	1	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	46	0
crypto/rsa	PASS	568	86	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	86	0
crypto/sha1	PASS	12	26	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	26	0
crypto/sha256	PASS	22	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25	0
crypto/sha3	BUILD	NOMATCH	25	0	1	n/a	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25	0
database/sql/driver	PASS	1	21	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	21	0
debug/buildinfo	PASS	211	48	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	48	0
debug/dwarf	PASS	40	30	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	30	0
debug/gosym	PASS	10	25	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	25	0
debug/pe	PASS	10	37	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	37	0
encoding/ascii85	PASS	9	19	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	19	0
encoding/asn1	PASS	40	24	0	0	0	windows/amd64	0dc65a8e8dd8a77d0a5f1b6aba6b70eb11663f5f	24	0
