source	target
crypto/internal/edwards25519	crypto/internal/fips140/edwards25519
crypto/internal/edwards25519	crypto/internal/fips140test
crypto/internal/edwards25519/field	crypto/internal/fips140/edwards25519/field
crypto/internal/bigmod	crypto/internal/fips140/bigmod
crypto/internal/mlkem768	crypto/internal/fips140/mlkem
crypto/internal/mlkem768	crypto/mlkem
crypto/internal/nistec	crypto/internal/fips140/nistec
crypto/internal/nistec	crypto/internal/fips140test
crypto/internal/alias	crypto/internal/fips140test
internal/concurrent	internal/sync
internal/weak	weak
runtime/internal/sys	internal/runtime/sys
runtime/internal/math	internal/runtime/math
