package	test	site	runs	go_mallocs_per_run	mnz_per_run	mnz_bytes_per_run	pass
bufio	TestReadStringAllocs	bufio/bufio_test.go:594	100	1	1	144	GOMAXPROCS=4
bytes	TestNewBufferShallow	bytes/buffer_test.go:105	1000	0	0	0	GOMAXPROCS=4
bytes	TestWriteAppend	bytes/buffer_test.go:361	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestGrow	bytes/buffer_test.go:561	100	0	0	0	GOMAXPROCS=4
bytes	TestEqual	bytes/bytes_test.go:77	10	0	0	0	GOMAXPROCS=4
bytes	TestIndex	bytes/bytes_test.go:284	100	0	0	0	GOMAXPROCS=4
bytes	TestLastIndex	bytes/bytes_test.go:284	100	0	0	0	GOMAXPROCS=4
bytes	TestIndexRune	bytes/bytes_test.go:506	1000	0	0	0	GOMAXPROCS=4
context	TestAllocs	context/x_test.go:329	100	0	0	0	GOMAXPROCS=4
context	TestAllocs	context/x_test.go:329	100	1	0	0	GOMAXPROCS=4
context	TestAllocs	context/x_test.go:329	100	2	0	0	GOMAXPROCS=4
context	TestAllocs	context/x_test.go:329	100	2	0	0	GOMAXPROCS=4
context	TestAllocs	context/x_test.go:329	100	4	0	0	GOMAXPROCS=4
crypto/ed25519	TestAllocations	crypto/ed25519/ed25519_test.go:372	100	0	0	0	GOMAXPROCS=4
crypto/md5	TestAllocations	crypto/md5/md5_test.go:232	10	0	0	0	GOMAXPROCS=4
crypto/rand	TestAllocations	crypto/rand/rand_test.go:157	10	0	0	0	GOMAXPROCS=4
crypto/rsa	TestAllocations	crypto/rsa/rsa_test.go:176	100	1	0	0	GOMAXPROCS=4
crypto/sha1	TestAllocations	crypto/sha1/sha1_test.go:238	10	0	0	0	GOMAXPROCS=4
crypto/sha256	TestAllocations	crypto/sha256/sha256_test.go:300	10	0	0	0	GOMAXPROCS=4
crypto/sha3	TestAllocations/New	crypto/sha3/sha3_test.go:226	10	0	0	0	GOMAXPROCS=4
crypto/sha3	TestAllocations/NewSHAKE	crypto/sha3/sha3_test.go:238	10	0	0	0	GOMAXPROCS=4
crypto/sha3	TestAllocations/Sum	crypto/sha3/sha3_test.go:250	10	0	0	0	GOMAXPROCS=4
crypto/sha3	TestAllocations/SumSHAKE	crypto/sha3/sha3_test.go:259	10	0	0	0	GOMAXPROCS=4
crypto/internal/fips140test	TestEdwards25519Allocations	crypto/internal/fips140test/edwards25519_test.go:17	100	0	0	0	GOMAXPROCS=4
crypto/internal/fips140test	TestNISTECAllocations/P224	crypto/internal/fips140test/nistec_test.go:21	10	0	0	0	GOMAXPROCS=4
crypto/internal/fips140test	TestNISTECAllocations/P256	crypto/internal/fips140test/nistec_test.go:40	10	0	0	0	GOMAXPROCS=4
crypto/internal/fips140test	TestNISTECAllocations/P384	crypto/internal/fips140test/nistec_test.go:59	10	0	0	0	GOMAXPROCS=4
crypto/internal/fips140test	TestNISTECAllocations/P521	crypto/internal/fips140test/nistec_test.go:78	10	0	0	0	GOMAXPROCS=4
crypto/internal/fips140test	TestXAESAllocations	crypto/internal/fips140test/xaes_test.go:24	10	0	0	0	GOMAXPROCS=4
crypto/sha512	TestAllocations	crypto/sha512/sha512_test.go:905	10	0	0	0	GOMAXPROCS=4
database/sql	TestRawBytesAllocs	database/sql/convert_test.go:381	100	0	0	0	GOMAXPROCS=4
database/sql	TestRawBytesAllocs	database/sql/convert_test.go:403	100	0	0	0	GOMAXPROCS=4
database/sql	TestGrabConnAllocs	database/sql/sql_test.go:4872	1000	0	0	0	GOMAXPROCS=4
encoding/binary	TestAppendAllocs	encoding/binary/binary_test.go:719	1	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/bool	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/int8	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/int16	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/int32	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/int64	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/uint8	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/uint16	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/uint32	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/uint64	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/float32	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/float64	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/complex64	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/complex128	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/binary.Struct	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/*binary.Struct	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/[]binary.Struct	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/[]binary.Struct#01	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
encoding/binary	TestSizeAllocs/[1]binary.Struct	encoding/binary/binary_test.go:760	10	0	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	0	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	1	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	0	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	1	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	3	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	1	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	1	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	1	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	0	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	0	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	0	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	1	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	4	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	1	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	2	0	0	GOMAXPROCS=4
fmt	TestCountMallocs	fmt/fmt_test.go:1521	100	0	0	0	GOMAXPROCS=4
hash/maphash	TestComparableAllocations	hash/maphash/maphash_test.go:438	10	0	0	0	GOMAXPROCS=4
hash/maphash	TestComparableAllocations	hash/maphash/maphash_test.go:450	10	0	0	0	GOMAXPROCS=4
io	TestMultiWriter_WriteStringSingleAlloc	io/multi_test.go:112	1000	1	0	0	GOMAXPROCS=4
io	TestPipeAllocations	io/pipe_test.go:431	10	4	0	0	GOMAXPROCS=4
log	TestDiscard	log/log_test.go:207	100	1	0	0	GOMAXPROCS=4
log/slog	TestAttrNoAlloc	log/slog/attr_test.go:30	5	0	0	0	GOMAXPROCS=4
log/slog	TestAlloc/Info	log/slog/logger_test.go:653	5	0	0	0	GOMAXPROCS=4
log/slog	TestAlloc/Error	log/slog/logger_test.go:653	5	0	0	0	GOMAXPROCS=4
log/slog	TestAlloc/logger.Info	log/slog/logger_test.go:653	5	0	0	0	GOMAXPROCS=4
log/slog	TestAlloc/logger.Log	log/slog/logger_test.go:653	5	0	0	0	GOMAXPROCS=4
log/slog	TestAlloc/2_pairs	log/slog/logger_test.go:653	5	2	0	0	GOMAXPROCS=4
log/slog	TestAlloc/2_pairs_disabled_inline	log/slog/logger_test.go:653	5	2	0	0	GOMAXPROCS=4
log/slog	TestAlloc/2_pairs_disabled	log/slog/logger_test.go:653	5	0	0	0	GOMAXPROCS=4
log/slog	TestAlloc/9_kvs	log/slog/logger_test.go:653	5	10	0	0	GOMAXPROCS=4
log/slog	TestAlloc/pairs	log/slog/logger_test.go:653	5	0	0	0	GOMAXPROCS=4
log/slog	TestAlloc/attrs1	log/slog/logger_test.go:653	5	0	0	0	GOMAXPROCS=4
log/slog	TestAlloc/attrs1	log/slog/logger_test.go:653	5	0	0	0	GOMAXPROCS=4
log/slog	TestAlloc/attrs3	log/slog/logger_test.go:653	5	0	0	0	GOMAXPROCS=4
